Date;Open;High;Low;Close;Adj Close;Volume
2020-07-09;7,43E+15;7,45E+15;7,10E+15;7,33E+15;7,33E+15;231115000
2020-07-10;7,32E+15;7,36E+15;7,17E+15;7,22E+15;7,22E+15;128030000
2020-07-13;7,30E+15;7,87E+15;7,26E+15;7,73E+15;7,73E+15;317085000
2020-07-14;7,60E+15;8,07E+15;7,50E+15;7,97E+15;7,97E+15;254905000
2020-07-15;8,16E+15;8,22E+15;7,90E+15;8,03E+15;8,03E+15;165135000
2020-07-16;7,96E+15;8,14E+15;7,91E+15;7,93E+15;7,93E+15;90555000
2020-07-17;8,01E+15;8,14E+15;7,79E+15;7,83E+15;7,83E+15;219745000
2020-07-20;7,85E+15;8,13E+14;7,85E+15;8,02E+14;8,02E+14;149440000
2020-07-21;8,23E+15;8,44E+13;8,13E+15;8,23E+15;8,23E+15;235300000
2020-07-22;8,22E+15;8,22E+15;7,96E+15;8,12E+14;8,12E+14;129955000
2020-07-23;8,12E+15;8,23E+15;7,74E+14;7,90E+15;7,90E+15;135105000
2020-07-24;7,86E+15;7,87E+15;7,57E+15;7,70E+15;7,70E+15;136920000
2020-07-27;7,76E+15;8,08E+14;7,71E+15;8,03E+15;8,03E+15;128415000
2020-07-28;8,03E+15;8,19E+15;7,81E+15;7,87E+15;7,87E+15;133160000
2020-07-29;7,98E+15;8,06E+13;7,87E+15;7,87E+15;7,87E+15;83775000
2020-07-30;7,76E+15;7,97E+14;7,61E+15;7,93E+15;7,93E+15;102350000
2020-07-31;7,97E+14;8,04E+15;7,73E+14;7,92E+15;7,92E+15;111770000
2020-08-03;7,96E+15;8,01E+15;7,80E+15;7,90E+16;7,90E+16;84725000
2020-08-04;7,70E+15;7,95E+15;7,65E+16;7,66E+16;7,66E+16;116295000
2020-08-05;7,84E+15;8,77E+14;7,83E+15;8,70E+15;8,70E+15;480370000
2020-08-06;8,68E+15;8,78E+15;8,40E+15;8,44E+15;8,44E+15;181045000
2020-08-07;8,41E+15;8,80E+15;8,28E+15;8,78E+15;8,78E+15;186585000
2020-08-10;8,78E+15;9,20E+14;8,73E+15;9,08E+15;9,08E+15;217060000
2020-08-11;9,28E+15;9,35E+14;8,71E+15;8,76E+15;8,76E+15;160750000
2020-08-12;8,90E+15;8,96E+15;8,57E+15;8,88E+15;8,88E+15;134565000
2020-08-13;8,88E+15;9,02E+15;8,62E+15;8,72E+15;8,72E+15;116565000
2020-08-14;8,74E+15;8,81E+13;8,49E+15;8,62E+15;8,62E+15;96615000
2020-08-17;8,52E+15;8,74E+15;8,17E+14;8,41E+15;8,41E+15;118840000
2020-08-18;8,61E+15;8,83E+14;8,53E+15;8,81E+13;8,81E+13;133680000
2020-08-19;8,90E+14;9,46E+15;8,84E+15;9,34E+15;9,34E+15;318080000
2020-08-20;9,11E+15;9,54E+15;9,03E+15;9,18E+15;9,18E+15;196300000
2020-08-21;9,19E+15;925;8,86E+15;8,95E+15;8,95E+15;154010000
2020-08-24;9,11E+15;9,20E+15;8,77E+15;8,86E+15;8,86E+15;132945000
2020-08-25;8,97E+15;9,02E+14;8,78E+15;8,86E+15;8,86E+15;107925000
2020-08-26;8,86E+15;8,94E+15;8,61E+14;8,77E+15;8,77E+15;109925000
2020-08-27;8,77E+15;8,88E+15;8,56E+15;8,61E+14;8,61E+14;92010000
2020-08-28;8,82E+15;8,85E+15;8,53E+15;8,60E+15;8,60E+15;117795000
2020-08-31;8,62E+15;8,68E+15;8,36E+15;8,38E+15;8,38E+15;113900000
2020-09-01;8,46E+15;8,84E+14;8,28E+15;8,80E+15;8,80E+15;216765000
2020-09-02;8,86E+14;8,92E+15;8,50E+15;8,68E+15;8,68E+15;182710000
2020-09-03;8,57E+15;8,83E+14;8,52E+14;8,67E+15;8,67E+15;209125000
2020-09-04;8,66E+15;9,02E+15;8,30E+15;8,81E+13;8,81E+13;495250000
2020-09-08;85;8,60E+15;8,10E+15;8,27E+14;8,27E+14;286810000
2020-09-09;8,45E+15;8,53E+15;8,25E+15;8,26E+14;8,26E+14;161665000
2020-09-10;8,24E+15;8,27E+15;7,87E+15;7,92E+15;7,92E+15;171970000
2020-09-11;7,92E+15;8,05E+15;7,70E+15;7,92E+15;7,92E+15;168520000
2020-09-14;7,92E+15;7,98E+15;7,76E+15;7,80E+15;7,80E+15;103670000
2020-09-15;7,87E+15;7,98E+15;7,76E+15;7,80E+15;7,80E+15;112180000
2020-09-16;7,92E+15;7,94E+15;7,74E+15;7,75E+15;7,75E+15;104150000
2020-09-17;7,70E+15;7,91E+15;7,62E+15;7,83E+15;7,83E+15;104645000
2020-09-18;7,76E+14;7,96E+15;7,51E+14;7,62E+15;7,62E+15;119010000
2020-09-21;7,40E+15;7,57E+15;7,25E+15;7,42E+15;7,42E+15;89280000
2020-09-22;7,44E+15;7,51E+14;7,27E+14;7,30E+15;7,30E+15;73795000
